Land-Ocean: Northern Hemispheric Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1997,0.34,0.6,0.75,0.49,0.43,0.49,0.42,0.49,0.52,0.64,0.6,0.51,0.52,0.51,0.43,0.56,0.47,0.59
1998,0.62,1.04,0.72,0.88,0.66,0.73,0.75,0.72,0.62,0.54,0.49,0.74,0.71,0.69,0.72,0.75,0.74,0.55
1999,0.59,1,0.29,0.54,0.37,0.35,0.36,0.31,0.41,0.4,0.53,0.66,0.48,0.49,0.78,0.4,0.34,0.45
2000,0.39,0.89,0.83,0.89,0.55,0.44,0.42,0.48,0.37,0.29,0.2,0.27,0.5,0.53,0.65,0.76,0.45,0.29
2001,0.57,0.46,0.76,0.6,0.69,0.52,0.64,0.69,0.57,0.6,0.98,0.66,0.64,0.61,0.43,0.69,0.61,0.72
2002,1.02,1.15,1.12,0.51,0.52,0.68,0.67,0.56,0.63,0.54,0.79,0.43,0.72,0.74,0.94,0.72,0.64,0.65
2003,0.93,0.57,0.67,0.61,0.72,0.55,0.68,0.87,0.79,0.99,0.67,0.99,0.75,0.71,0.64,0.67,0.7,0.81
2004,0.67,0.92,0.87,0.7,0.52,0.47,0.5,0.55,0.6,0.7,0.99,0.45,0.66,0.71,0.86,0.7,0.51,0.76
2005,0.94,0.73,0.95,0.93,0.78,0.79,0.76,0.7,0.91,0.95,1.06,0.84,0.86,0.83,0.71,0.89,0.75,0.97
2006,0.66,0.96,0.78,0.6,0.76,0.82,0.7,0.69,0.82,0.96,0.95,1.16,0.82,0.8,0.82,0.71,0.74,0.91
2007,1.46,0.9,0.96,1.07,0.73,0.66,0.67,0.73,0.68,0.84,0.83,0.77,0.86,0.89,1.17,0.92,0.69,0.78
2008,0.34,0.59,1.14,0.65,0.6,0.62,0.61,0.6,0.58,0.86,0.97,0.66,0.69,0.7,0.57,0.8,0.61,0.8
2009,0.83,0.71,0.6,0.71,0.67,0.69,0.69,0.73,0.86,0.8,0.85,0.67,0.73,0.73,0.73,0.66,0.7,0.83
2010,0.81,0.95,1.11,1.13,0.94,0.86,0.89,0.87,0.71,0.9,1.21,0.51,0.91,0.92,0.81,1.06,0.87,0.94
2011,0.62,0.57,0.89,0.85,0.66,0.77,0.73,0.71,0.74,0.91,0.67,0.89,0.75,0.72,0.56,0.8,0.74,0.77
2012,0.69,0.59,0.72,1.07,0.98,0.95,0.86,0.76,0.87,0.92,0.98,0.46,0.82,0.86,0.72,0.92,0.86,0.92
2013,0.85,0.8,0.82,0.69,0.79,0.78,0.71,0.74,0.71,0.83,1.14,0.84,0.81,0.78,0.7,0.77,0.74,0.89
2014,0.98,0.72,1.21,1.09,0.91,0.83,0.78,0.91,0.84,0.94,0.82,1.11,0.93,0.91,0.85,1.07,0.84,0.87
2015,1.19,1.2,1.33,1.03,1.05,1.06,0.93,1.02,1.18,1.3,1.39,1.54,1.19,1.15,1.17,1.14,1,1.29
2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.13,1.05,1.31,1.36,1.68,1.51,1.1,1.13
2017,1.4,1.53,1.53,1.21,0.93,0.94,0.98,1.02,1.01,1.06,1.23,1.41,1.19,1.16,1.33,1.22,0.98,1.1
2018,1.14,1.25,1.18,0.98,1.02,0.87,0.91,0.87,0.98,1.25,0.98,1.11,1.05,1.07,1.27,1.06,0.89,1.07
2019,1.21,1.14,1.55,1.26,1,1.21,1.04,1.09,1.22,1.32,1.21,1.4,1.22,1.2,1.15,1.27,1.11,1.25
2020,1.6,1.71,1.67,1.41,1.28,1.14,1.11,1.14,1.21,1.23,1.62,,,,,,,
